"ET","CC","Priority","CI","OE","OW","NI","SI","RI","FI"
651.275,4,2,1,0,17623,6,0,0,0
650.702,6,2,2,0,17623,3,0,3,9
590.568,4,2,4,0,17623,0,0,3,3
228.628,3,2,2,0,17623,0,0,1,2
577.108,4,2,2,0,17623,0,0,3,3
577.107,4,2,3,0,17623,1,0,1,4
794.821,5,2,5,0,17623,3,0,1,6
841.438,4,2,4,0,17623,1,0,1,4
834.849,10,2,9,0,17623,15,1,5,24
577.106,4,2,2,0,17623,0,1,5,0
935.67,6,2,5,0,17623,1,0,6,8
221.609,4,2,3,120,90,0,1,5,0
577.106,4,2,2,0,17623,0,0,6,0
578.389,7,2,7,0,17623,3,0,6,12
577.105,4,2,3,0,17623,0,0,3,3
583.143,4,2,3,0,17623,0,0,6,0
577.105,4,2,2,0,17623,0,0,6,0
916.993,7,2,4,0,17623,10,0,1,10
834.846,3,2,3,0,17623,0,0,3,0
834.845,4,2,3,0,17623,0,0,3,3
834.844,5,2,5,0,17623,1,0,3,6
834.845,4,2,2,0,17623,0,0,6,0
577.102,5,2,4,0,17623,1,0,3,6
834.793,3,2,3,0,17623,0,0,3,0
377.702,5,2,5,0,17623,1,0,3,6
834.793,3,2,2,0,17623,0,0,3,0
209.972,3,2,2,120,90,0,0,3,0
577.045,6,2,4,0,17623,1,0,6,8
836.124,5,2,4,0,17623,1,0,3,6
579.927,4,2,2,0,17623,0,0,6,0
1024.202,6,2,6,0,17623,3,0,3,9
57.999,4,2,4,5,3,3,0,0,3
577.049,4,2,2,0,17623,0,0,6,0
834.788,6,2,5,0,17623,1,0,6,8
216.174,5,2,5,0,17623,0,2,4,4
1026.634,6,2,7,0,17623,3,0,3,9
834.787,3,2,2,0,17623,0,0,3,0
834.791,4,2,3,0,17623,0,0,3,3
577.099,5,2,4,0,17623,1,0,3,6
1202.618,6,2,10,0,17623,6,0,1,8
576.67,3,2,1,120,90,0,0,3,0
576.736,5,2,2,16,27,1,0,3,6
576.431,5,2,3,16,27,0,1,5,4
834.031,4,2,3,0,17623,0,1,5,0
821.455,4,2,2,0,17623,0,0,6,0
563.714,3,2,2,0,17623,0,0,3,0
563.713,3,2,2,0,17623,0,0,3,0
47.7,3,2,3,0,17623,1,0,0,2
201.686,3,2,2,16,27,0,0,3,0
209.954,4,2,3,16,27,0,0,3,3
821.449,5,2,3,0,17623,0,1,9,0
204.762,6,2,6,0,17623,6,0,1,8
563.708,5,2,3,8,49,0,1,5,4
563.708,3,2,1,0,17623,0,1,2,0
201.683,3,2,3,0,17623,0,0,3,0
828.982,6,2,6,0,17623,1,1,5,8
604.555,6,2,6,0,17623,6,0,1,8
204.342,4,2,4,0,17623,1,0,1,4
195.561,3,2,2,0,17623,0,0,3,0
196.637,3,2,2,0,17623,0,0,3,0
821.44,3,2,2,0,17623,0,0,3,0
944.002,14,2,16,0,17623,28,3,12,48
563.703,3,2,2,0,17623,0,0,3,0
572.183,3,2,1,0,17623,0,0,3,0
563.703,4,2,3,0,17623,0,0,6,0
821.44,4,2,2,0,17623,0,0,6,0
571.141,3,2,1,0,17623,0,0,3,0
564.662,4,2,3,0,17623,0,0,3,3
1236.315,5,2,4,0,17623,1,0,3,6
