"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
5552.9869,4,4,8,67,370,6,0,0,0
18153.1039,7,4,69,3,22,6,0,3,12
8036.4122,4,1,22,947,2387,1,0,1,4
45289.5589,7,4,49,947,2387,3,3,3,12
7442.6375,6,5,33,947,2387,10,0,0,5
4843.6825,5,7,13,947,2387,6,0,0,4
17590.1947,5,3,12,0,1920,6,0,0,4
16077.38,4,4,23,3,4,1,0,1,4
6953.6783,4,4,7,7,13,1,0,1,4
21603.9594,10,5,35,67,370,28,0,1,16
5908.2183,11,3,24,0,1920,21,2,4,28
3860.5961,3,3,5,0,22,1,0,0,2
6465.2297,3,3,5,0,22,0,0,3,0
7731.5608,11,4,25,947,2387,21,2,4,28
1960.6347,5,3,12,947,2387,3,0,1,6
6820.8381,4,5,14,10,10,1,0,1,4
1892.6864,9,5,12,100,116,36,0,0,0
9012.4406,4,3,9,6,47,3,0,0,3
13884.1117,5,3,12,0,21,10,0,0,0
25349.5483,4,3,6,0,23,1,0,1,4
461.35,3,4,5,125,376,3,0,0,0
842.4375,3,6,11,6,20,1,0,0,2
1070.6183,4,3,10,0,1665,3,0,0,3
4229.9336,3,6,18,40,520,1,0,0,2
12024.3481,7,3,19,12,558,0,13,8,0
49349.1739,4,4,7,40,520,0,0,3,3
2952.5053,4,3,7,0,163,1,1,0,4
1871.9594,3,3,4,176,517,1,0,0,2
5129.3047,3,3,7,0,163,1,0,0,2
3333.0394,3,3,7,0,163,0,0,1,2
2953.6594,3,3,7,0,163,0,1,2,0
1945.0133,3,6,7,0,163,0,0,1,2
3172.3978,5,3,19,1197,1003,0,2,4,4
2352.6231,6,3,10,1197,1003,0,4,11,0
3015.9108,6,3,20,1197,1003,0,3,12,0
4270.7628,3,3,4,776,900,0,0,3,0
4270.7478,4,3,7,776,900,0,0,6,0
5551.5514,5,3,17,176,517,0,0,10,0
2572.1847,3,4,13,776,900,0,0,3,0
5586.3017,3,5,11,0,163,0,0,3,0
2735.4017,6,3,13,219,539,1,1,5,8
2059.8858,3,3,11,1253,1887,0,0,3,0
1730.2361,5,3,14,1197,1003,0,3,7,0
5228.5031,9,3,20,1289,3049,3,4,11,18
4418.62,4,3,12,1253,1887,0,0,3,3
2083.5886,4,3,12,1253,1887,0,1,5,0
5573.2219,6,3,15,1289,3049,1,0,6,8
4307.1056,5,3,11,1253,1887,0,0,10,0
3432.4056,5,5,18,1289,3049,0,1,9,0
4266.9228,3,4,14,966,2438,0,0,3,0
5516.3064,3,3,11,660,761,0,0,3,0
3065.54,5,3,10,85,558,0,3,7,0
1869.34,4,3,14,0,163,0,0,3,3
2256.1903,4,1,11,176,517,0,0,6,0
3510.8569,3,3,5,176,517,0,0,3,0
5065.8739,4,3,12,176,517,0,0,6,0
2877.1406,5,3,19,1253,1887,0,0,10,0
1877.9247,3,5,9,0,163,0,0,1,2
4729.0247,6,3,12,1253,1887,0,0,15,0
2900.7089,3,3,10,1289,3049,0,0,3,0
6458.6258,17,3,31,0,163,36,13,15,72
2363.7428,5,3,11,1253,1887,0,0,10,0
2037.2594,3,3,11,1253,1887,0,0,3,0
2036.4761,3,3,5,219,539,0,0,3,0
3313.7767,3,3,11,85,558,0,0,3,0
2179.41,4,5,11,0,163,0,0,6,0
4942.8939,3,4,14,1197,1003,0,0,3,0
5539.6108,7,3,13,176,517,0,4,17,0
3835.1114,3,3,5,219,539,0,0,3,0
3882.7783,3,3,5,219,539,0,0,3,0
4008.0117,3,3,9,1289,3049,0,0,3,0
2754.5786,4,3,13,966,2438,0,0,6,0
4532.0789,3,3,9,0,163,0,0,3,0
4410.1125,4,5,13,3034,2207,0,0,6,0
2403.2128,4,3,7,176,517,0,1,5,0
5549.4128,5,3,10,176,517,0,0,6,4
2376.1294,5,3,16,966,2438,0,0,10,0
5567.4131,5,3,17,3034,2207,0,0,6,4
5445.8308,3,3,9,219,539,0,0,3,0
2271.5475,4,3,6,219,539,0,0,3,3
2200.0311,3,3,10,487,719,0,0,3,0
1821.5978,3,3,11,1253,1887,0,0,3,0
3210.4314,3,3,9,85,558,0,0,3,0
2518.0814,3,3,11,85,558,0,0,3,0
5369.815,3,3,13,219,539,0,0,1,2
5230.8986,4,3,10,0,163,0,0,6,0
4080.5656,6,3,16,85,558,0,3,12,0
5213.8328,3,3,6,176,517,0,0,3,0
4175.5331,4,3,11,0,163,0,1,5,0
2658.0667,3,4,5,219,539,0,0,3,0
2839.0169,4,3,6,776,900,0,0,6,0
4199.3836,5,3,20,85,558,0,0,10,0
2732.6336,5,3,10,176,517,0,0,10,0
2756.0508,4,3,15,219,539,0,0,3,3
4078.3344,3,3,11,3034,2207,0,0,3,0
4780.5678,5,3,10,176,517,0,0,10,0
1823.3014,3,3,10,0,163,0,0,3,0
1727.9519,3,3,12,85,558,0,0,3,0
2035.6022,3,3,11,1253,1887,0,0,3,0
3018.3189,3,3,11,1253,1887,0,0,3,0
5208.6694,4,3,11,0,163,0,0,6,0
4690.1697,4,3,9,0,163,0,0,6,0
3409.7367,3,3,9,1289,3049,0,0,3,0
5182.3033,3,3,10,0,163,0,0,3,0
4243.2369,4,3,11,1289,3049,0,0,6,0
2214.7544,4,3,7,176,517,0,0,6,0
3036.2383,3,4,11,0,163,0,0,3,0
2172.6053,4,5,12,487,719,0,0,6,0
2041.1386,4,3,8,176,517,0,0,6,0
2659.0725,3,5,11,85,558,0,0,3,0
3218.1058,3,3,6,176,517,0,0,3,0
5082.4058,4,3,12,1253,1887,0,0,6,0
5205.7731,4,3,11,219,539,0,0,6,0
2762.6731,3,3,9,219,539,0,0,3,0
1990.9233,3,3,11,1253,1887,0,0,3,0
2759.24,3,3,6,176,517,0,0,3,0
4272.6572,3,3,8,776,900,0,0,3,0
3552.1075,4,4,12,966,2438,0,0,6,0
4868.8578,3,3,11,1253,1887,0,0,3,0
2424.1078,4,3,11,85,558,0,0,6,0
1747.4747,6,3,23,1197,1003,0,0,15,0
1823.1914,4,3,17,3034,2207,0,0,3,3
3337.8414,6,3,15,1289,3049,0,1,14,0
4607.3583,5,3,12,0,163,0,1,9,0
3576.7919,6,3,18,1711,2531,0,0,15,0
3091.2094,4,3,7,219,539,0,1,5,0
5404.0597,5,4,11,1197,1003,0,1,9,0
2926.41,4,3,12,1289,3049,0,0,6,0
2881.4767,4,2,11,1253,1887,0,0,6,0
1657.1103,4,3,12,0,163,0,0,6,0
1892.3439,4,5,13,0,163,0,2,4,0
4252.2275,3,3,5,1197,1003,0,0,3,0
3741.2281,4,3,8,1289,3049,0,0,6,0
1874.645,5,3,21,1197,1003,0,1,9,0
1752.0453,3,3,13,0,163,0,0,3,0
1866.3786,4,3,16,219,539,0,0,6,0
2060.3458,3,3,11,1253,1887,0,0,3,0
3197.3958,3,3,10,176,517,0,0,3,0
1868.1967,5,3,12,1197,1003,0,0,10,0
2905.0967,6,3,15,1289,3049,0,0,15,0
4222.3136,3,3,10,1289,3049,0,0,3,0
4172.0469,5,3,12,85,558,0,1,9,0
2132.2306,3,3,10,487,719,0,0,3,0
4899.7478,3,3,5,776,900,0,0,3,0
2438.8481,4,3,10,0,163,0,0,3,3
1344.1314,4,4,12,3034,2207,0,0,6,0
1961.8983,4,3,10,0,163,0,1,5,0
1866.465,4,3,7,219,539,0,0,6,0
3895.3986,6,3,15,0,163,1,0,6,8
2714.4156,3,3,6,176,517,0,0,3,0
4053.1658,5,3,11,0,163,0,2,8,0
1844.5658,3,3,10,0,163,0,0,3,0
2231.2494,6,3,14,1253,1887,0,3,12,0
4029.9497,5,5,14,0,163,0,0,10,0
2832.5333,4,3,13,176,517,0,0,6,0
1896.8333,4,3,10,85,558,0,1,5,0
4203.6336,4,3,15,966,2438,0,0,6,0
3409.7003,3,3,9,85,558,0,0,3,0
3510.8669,3,3,10,176,517,0,0,3,0
5250.6672,4,5,10,176,517,0,0,6,0
5519.0672,4,3,11,1253,1887,0,0,6,0
2354.3011,5,3,11,1253,1887,0,0,10,0
4382.0181,5,3,11,1289,3049,0,2,8,0
5205.8517,5,5,15,219,539,0,0,10,0
3338.5853,3,3,14,1197,1003,0,0,3,0
3429.7689,3,3,11,1289,3049,0,0,3,0
4513.5022,5,4,17,176,517,0,1,9,0
4078.1358,3,3,5,219,539,0,0,3,0
4288.815,3,3,18,1197,1003,0,0,3,0
2229.0744,5,3,19,1197,1003,0,0,10,0
2396.6794,3,3,19,1197,1003,0,0,3,0
1846.6519,4,3,7,1197,1003,0,0,6,0
3236.62,3,3,12,1197,1003,0,0,3,0
2184.2772,3,3,12,0,1380,3,0,0,0
738.03,4,5,10,88,199,3,0,0,3
3245.6908,3,2,19,88,199,0,0,1,2
1023.2972,10,3,21,88,199,28,0,1,16
4560.4203,7,3,15,88,199,6,0,3,12
424.5919,3,3,11,0,1380,0,0,1,2
256.0986,3,7,8,0,797,0,0,1,2
10203.9692,18,5,31,88,199,66,8,7,72
2295.5189,5,3,10,392,507,1,2,1,6
792.2922,5,3,8,0,1380,3,0,1,6
3161.8844,7,3,20,69,115,3,1,5,12
1305.61,8,3,17,0,797,1,11,4,12
11707.2481,5,5,25,3,57,0,1,5,4
15938.1978,4,3,9,88,199,1,0,1,4
15331.0397,7,2,29,15,122,0,6,9,6
