"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
10.8953,3,1,2,309,56,3,0,0,0
142.3775,3,3,3,2242,181,1,0,0,2
24.7139,3,1,2,309,56,0,1,2,0
1786.8669,3,1,7,0,15804,1,0,0,2
1791.9464,4,4,9,367,67,0,1,2,3
1535.4017,3,5,4,66,19,1,0,0,2
1535.3522,3,4,2,52,10,0,0,1,2
1399.1206,3,3,7,2225,411,1,0,0,2
1429.7756,3,1,4,0,15804,1,0,0,2
70.1278,3,5,3,52,10,0,0,1,2
422.6111,3,4,2,66,19,0,3,0,0
525.8022,3,5,5,92,23,0,1,2,0
120.5864,3,6,7,99,10,1,0,0,2
311.4586,4,1,5,14,2,1,0,1,4
188.8222,3,5,3,755,163,0,0,1,2
239.3342,3,5,4,755,163,0,0,3,0
119.5072,3,6,3,21,2,0,1,2,0
2346.1172,4,5,5,294,29,0,3,0,3
485.9214,3,5,5,367,67,0,2,1,0
289.9942,3,5,2,2242,181,0,0,3,0
2299.4614,3,1,4,0,15804,0,1,0,2
2169.7986,4,1,5,0,15804,0,1,2,3
1830.5194,4,1,4,3863,370,0,1,2,3
1215.3419,3,1,2,309,56,0,0,3,0
1215.5675,3,1,2,309,56,0,0,3,0
1340.2406,4,1,6,0,15804,0,1,5,0
1730.1333,3,1,2,309,56,0,0,3,0
1737.7842,3,1,2,309,56,0,0,3,0
2210.0897,3,1,2,309,56,0,0,3,0
2211.4886,3,1,2,309,56,0,0,3,0
2214.5425,3,1,2,309,56,0,0,3,0
146.1911,3,3,2,3863,370,0,0,3,0
515.2489,4,3,6,367,67,0,0,6,0
536.1467,3,1,2,309,56,0,0,3,0
536.5358,3,1,2,309,56,0,0,3,0
556.2964,3,1,2,309,56,0,0,3,0
560.0461,3,1,2,309,56,0,0,3,0
560.5253,3,1,2,309,56,0,0,3,0
605.4083,3,1,2,309,56,0,0,3,0
789.5542,3,1,4,0,15804,0,0,1,2
770.9433,3,3,3,3863,370,0,0,1,2
998.0767,3,3,8,0,15804,0,0,1,2
2187.6939,3,3,2,2242,181,0,0,3,0
2349.1175,3,3,4,294,29,0,0,3,0
503.2522,4,4,5,2242,181,0,4,2,0
119.5581,3,4,2,3863,370,0,0,3,0
1808.9347,5,4,6,3863,370,0,0,6,4
1973.5519,3,4,6,0,15804,0,2,1,0
1978.5353,3,4,6,0,15804,0,0,1,2
1994.7733,3,4,6,0,15804,0,0,3,0
2299.1206,3,4,5,294,29,0,0,3,0
119.7325,3,5,2,3863,370,0,0,3,0
2329.4019,7,5,10,3863,370,0,7,8,6
831.6581,3,5,9,2061,23,0,0,3,0
142.3828,3,1,4,0,15804,0,0,3,0
483.7608,3,3,5,3863,370,0,0,3,0
550.0472,4,4,5,367,67,0,1,2,3
